RANK,PLAYER,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,WEEK
79,Javon Hargrave (SF),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,10.9%,5.0
80,Taven Bryan (IND),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.1%,5.0
81,Dante Fowler Jr. (DAL),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.1%,5.0
82,Roy Lopez (ARI),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0%,5.0
83,Jordan Phillips (BUF),1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.1%,5.0
84,Leki Fotu (ARI),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.1%,5.0
85,Arnold Ebiketie (ATL),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.2%,5.0
86,Jaleel Johnson (FA),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.0%,5.0
87,Shy Tuttle (CAR),1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.4%,5.0
88,Christian Barmore (NE),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,0.8%,5.0
89,Aaron Donald (LAR),1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,31.1%,5.0
90,Osa Odighizuwa (DAL),2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,2.1%,5.0
91,Arik Armstead (SF),0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,1.5%,5.0
92,Keeanu Benton (PIT),1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.2%,5.0
93,DeMarcus Lawrence (DAL),0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.6%,5.0
