RANK,PLAYER,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,WEEK
16,Jake Moody (SF),1.0,2.0,50.0,55.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,43.1%,7.0
17,Chase McLaughlin (TB),2.0,2.0,100.0,36.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,3.3%,7.0
18,Harrison Butker (KC),1.0,1.0,100.0,35.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,7.0,7.0,89.3%,7.0
19,Jason Sanders (MIA),1.0,1.0,100.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,35.4%,7.0
20,Tyler Bass (BUF),1.0,2.0,50.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,85.5%,7.0
21,Anders Carlson (GB),1.0,2.0,50.0,29.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,4.2%,7.0
22,Matt Prater (ARI),1.0,2.0,50.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,13.2%,7.0
23,Brett Maher (FA),1.0,3.0,33.3,41.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,3.1%,7.0
24,Graham Gano (NYG),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,13.0%,7.0
25,Joey Slye (WAS),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.2%,7.0
26,Matthew Wright (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
27,Matt Ammendola (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2%,7.0
28,Ka'imi Fairbairn (HOU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8%,7.0
29,Eddy Pineiro (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0%,7.0
30,Michael Badgley (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
31,Brandon Aubrey (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8%,7.0
32,Lucas Havrisik (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2%,7.0
33,Evan McPherson (CIN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.9%,7.0
34,Riley Patterson (DET),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.8%,7.0
35,Piotr Czech (PIT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
36,Parker Douglass (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
37,Steven Weatherford (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
38,Ricky Schmit (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
39,Zac Derr (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
40,Nick Folk (TEN),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1%,7.0
41,Jason Reda (CLE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
42,Garrett Rivas (TB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
43,Carlos Martinez (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
44,Andrew Wellock (CAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
45,Mark Hickok (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
46,MacKenzie Hoambrecker (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
47,Andrew Jacas (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
48,Garrett Lindholm (ATL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
49,Greg Zuerlein (NYJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4%,7.0
50,Randy Bullock (NYG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1%,7.0
51,Saverio Rocca (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
52,Kai Forbath (LAR),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0%,7.0
53,Clint Stitser (WAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
54,Connor Hughes (DAL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0%,7.0
