RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,WEEK
57,Josh Downs (IND),2.0,3.0,40.0,20.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,50.8%,10.0
58,DeAndre Hopkins (TEN),3.0,9.0,27.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,95.8%,10.0
59,Mike Strachan (CAR),1.0,2.0,45.0,45.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,5.5,0.0%,10.0
60,Darius Slayton (NYG),3.0,4.0,21.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1,5.1,2.4%,10.0
61,Jonathan Mingo (CAR),3.0,7.0,20.0,6.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.6%,10.0
62,Rashod Bateman (BAL),2.0,4.0,25.0,12.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,10.5%,10.0
63,John Metchie III (HOU),2.0,2.0,25.0,12.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,4.5,0.9%,10.0
64,Christian Watson (GB),2.0,7.0,23.0,11.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.3,4.3,68.0%,10.0
65,Trey Palmer (TB),2.0,4.0,21.0,10.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.1,0.9%,10.0
66,Chris Moore (TEN),2.0,4.0,21.0,10.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.1,0.1%,10.0
67,Tyler Scott (CHI),1.0,1.0,15.0,15.0,15.0,0.0,0.0,1.0,16.0,0.0,0.0,1.0,4.1,4.1,0.1%,10.0
68,Jakobi Meyers (LV),2.0,2.0,21.0,10.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.1,81.6%,10.0
69,Calvin Ridley (JAC),2.0,3.0,20.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,95.0%,10.0
70,Jameson Williams (DET),2.0,2.0,18.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,18.3%,10.0
71,Marquise Brown (ARI),1.0,4.0,28.0,28.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,90.0%,10.0
72,Tim Jones (JAC),2.0,2.0,17.0,8.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.0%,10.0
73,Josh Reynolds (DET),2.0,4.0,15.0,7.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,3.5,14.5%,10.0
74,Darnell Mooney (CHI),2.0,4.0,14.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.4,20.0%,10.0
75,Khalil Shakir (BUF),1.0,2.0,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.4,10.8%,10.0
76,Xavier Gipson (NYJ),1.0,3.0,24.0,24.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4,3.4,0.1%,10.0
77,Jake Bobo (SEA),2.0,2.0,13.0,6.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,3.3,0.8%,10.0
78,Alec Pierce (IND),1.0,1.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.3%,10.0
79,Ronnie Bell (SF),1.0,1.0,20.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.1%,10.0
80,Derius Davis (LAC),2.0,2.0,7.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,0.3%,10.0
81,Diontae Johnson (PIT),1.0,4.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,84.4%,10.0
82,Allen Lazard (NYJ),1.0,5.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.7,2.7,13.1%,10.0
83,Jalen Nailor (MIN),1.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,0.0%,10.0
84,Wan'Dale Robinson (NYG),2.0,3.0,6.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.6,2.6,8.6%,10.0
85,Curtis Samuel (WAS),2.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,32.7%,10.0
86,Robert Woods (HOU),1.0,3.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,8.5%,10.0
87,Lil'Jordan Humphrey (DEN),1.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.4,2.4,0.0%,10.0
88,Lynn Bowden Jr. (NO),1.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.0%,10.0
89,Jalen Tolbert (DAL),2.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,0.2%,10.0
90,Kayshon Boutte (NE),1.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.1%,10.0
91,Deven Thompkins (TB),1.0,2.0,5.0,5.0,5.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,2.1,2.1,0.3%,10.0
92,Terrace Marshall Jr. (CAR),1.0,3.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.3%,10.0
93,JuJu Smith-Schuster (NE),1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,21.7%,10.0
94,Michael Thomas (NO),1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,57.7%,10.0
95,Nick Westbrook-Ikhine (TEN),1.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9,1.9,0.8%,10.0
96,Calvin Austin III (PIT),1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.9,1.9,1.1%,10.0
97,Jauan Jennings (SF),1.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.8,0.8%,10.0
98,Xavier Hutchinson (HOU),0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,1.0,1.7,1.7,0.0%,10.0
99,Byron Pringle (WAS),1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,1.7,0.0%,10.0
100,Malik Taylor (NYJ),1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,0.0%,10.0
